Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8051587621,2021-07-07 01:37:17,2021-07-06 14:24:00,Orinda,California,925,Other,Y
9252542148,2021-07-07 01:38:10,2021-07-06 13:09:00,Orinda,California,925,Other,Y
6196650694,2021-07-07 01:38:37,2021-07-06 16:13:00,San Diego,California,619,Dropped call or no message,N
9252541919,2021-07-07 01:38:59,2021-07-06 11:45:00,Orinda,California,925,Other,Y
8009149244,2021-07-07 01:40:05,2021-07-06 18:20:00,Houston,Texas,346,"Reducing your debt (credit cards, mortgage, student loans)",Y
8668648918,2021-07-07 01:40:28,2021-05-19 16:54:00,Honolulu,Hawaii,808,Medical  & prescriptions,Y
8435944614,2021-07-07 01:40:31,2021-07-06 00:00:00,East Patchogue,New York,631,Warranties  & protection plans,Y
8182060357,2021-07-07 01:40:52,2021-07-06 11:12:00,,California,415,Warranties  & protection plans,Y
9297321433,2021-07-07 01:41:43,2021-07-06 12:00:00,SPRINGFIELD,Illinois,217,Other,N
5073067812,2021-07-07 01:41:43,2021-07-06 13:17:00,East Patchogue,New York,631,"Energy, solar,  & utilities",Y
6513821412,2021-07-07 01:42:35,2021-07-06 19:47:00,,Minnesota,651,No Subject Provided,
8668648918,2021-07-07 01:42:39,2021-05-19 16:06:00,Honolulu,Hawaii,808,Medical  & prescriptions,Y
3802033119,2021-07-07 01:44:05,2021-07-06 00:00:00,,California,415,Other,Y
2062033693,2021-07-07 01:44:29,2021-07-06 17:33:00,Des Moines,Iowa,515,Dropped call or no message,N
8142019667,2021-07-07 01:45:04,2021-07-06 04:12:00,Loysburg,Pennsylvania,814,"Reducing your debt (credit cards, mortgage, student loans)",N
9297321433,2021-07-07 01:46:37,2021-07-06 05:00:00,,Illinois,217,Other,N
8556301004,2021-07-07 01:47:36,2021-07-06 10:44:00,San Diego,California,619,Dropped call or no message,N
8082073347,2021-07-07 01:55:47,2021-06-11 09:47:00,Honolulu,Hawaii,808,Warranties  & protection plans,Y
6266034390,2021-07-07 01:57:07,2021-07-06 17:39:00,,California,323,"Calls pretending to be government, businesses, or family and friends",Y
6615362776,2021-07-07 02:02:04,2021-07-06 17:40:00,,Hawaii,808,"Lotteries, prizes  & sweepstakes",N
5094025087,2021-07-07 02:04:00,2021-07-06 12:00:00,Oceanside,New York,516,"Calls pretending to be government, businesses, or family and friends",N
3464381843,2021-07-07 02:07:12,2021-07-06 12:00:00,Carson,California,310,"Calls pretending to be government, businesses, or family and friends",Y
5023885799,2021-07-07 02:16:09,2021-07-03 18:28:00,,Kentucky,502,Other,Y
9299232938,2021-07-07 02:16:17,2021-06-14 09:00:00,Honolulu,Hawaii,808,"Reducing your debt (credit cards, mortgage, student loans)",Y
9144824495,2021-07-07 02:16:17,2021-07-06 16:44:00,Doral,Florida,305,Dropped call or no message,N
7866827601,2021-07-07 02:20:02,2021-07-06 13:04:00,New York,New York,212,"Calls pretending to be government, businesses, or family and friends",Y
4422128180,2021-07-07 02:21:44,2021-07-06 15:05:00,Tucson,Arizona,520,Dropped call or no message,
